,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
200312,0.3151,2.6583,2.951,1.4473,4.3505,1.3666,2.7274,2.4825,2.3417,3.5316,-0.5221,2.6469,4.1441,1.8528,8.3219,0.8617,3.2406,2.6161,5.0948,2.8161,4.5969,5.0768,4.8788,7.4261,6.4486
200401,5.9319,6.3134,5.4871,6.3019,8.3273,3.3305,3.8217,3.1809,4.1562,7.3136,3.2379,1.9663,1.7986,3.4212,6.3,1.7062,1.494,4.4991,2.6691,4.7842,1.4738,1.4384,2.9621,1.3093,3.8214
200402,0.5364,0.1495,-0.0117,0.9958,0.0344,1.1337,1.8746,0.9442,-0.3434,0.3001,0.0132,2.5867,3.7905,1.8559,0.5522,2.3508,2.0781,2.2273,3.4836,0.7357,1.0453,2.199,1.2535,1.8875,4.2227
200403,-1.5455,-0.5162,-0.7561,0.5291,-0.8491,2.3731,1.8307,-0.7372,1.5079,1.5005,1.6136,0.7102,0.1757,0.2771,0.8824,0.4091,-0.7992,1.1226,-1.0553,-1.1705,-2.3124,-0.7762,-1.6678,0.2981,-1.3178
200404,-4.1772,-5.1726,-3.3784,-3.8621,-6.5732,-3.9933,-4.5124,-2.202,-4.346,-8.4811,-1.8359,-2.8351,-3.0562,-5.7159,-6.4646,-1.5369,-4.6114,-3.9985,-2.7383,-3.5819,0.297,-3.18,-3.1705,-2.3682,-0.95
200405,-2.0683,-0.5451,0.2241,-0.6437,0.7762,1.5982,1.3816,1.4342,1.168,3.8113,1.4327,2.3546,2.1228,1.5453,1.7503,1.1512,2.1709,2.6958,1.2713,4.0078,1.3912,1.0838,0.4055,0.5497,0.2759
200406,1.2565,4.6768,4.2282,3.203,4.1527,3.2209,5.0377,5.8712,5.4196,8.3579,2.2427,4.4778,1.7686,2.202,4.8007,1.4785,2.5534,2.4586,3.3098,4.2121,1.4103,1.5192,0.3226,3.2546,2.8803
200407,-12.7666,-7.6593,-6.7661,-5.4728,-4.3147,-8.9757,-8.1533,-6.1548,-4.7865,-4.0441,-8.8584,-5.7898,-3.3752,-2.6241,-4.5368,-6.0978,-5.362,-4.056,-5.847,-1.7922,-4.9568,-1.4857,-0.7905,-1.9455,-1.3866
200408,-1.5872,-0.7855,-0.9757,-1.5499,-1.8232,-4.469,-1.4895,0.2043,0.338,0.6744,-2.3723,-1.6258,0.8712,0.4931,-1.6374,-1.6169,-0.834,0.4675,0.7631,0.0961,-0.3458,1.6794,1.0412,0.9609,0.1897
200409,4.7232,4.2562,5.4254,4.1464,3.7401,8.3323,5.4458,5.3655,4.3529,4.0377,4.0801,4.6697,3.6809,3.0614,2.6987,2.9616,3.0746,4.6163,3.0395,3.355,0.0676,1.4906,1.7894,1.3097,4.1379
200410,1.1138,2.1885,3.2287,0.492,0.5448,3.7213,3.176,1.6732,0.0325,2.8321,2.2169,4.1585,1.8535,0.646,1.1685,3.9904,2.7153,1.1708,1.3778,-0.3649,1.4502,0.6563,3.3593,0.2906,2.249
200411,10.7335,8.3117,8.1598,7.5578,9.6887,7.3707,9.5672,9.1603,9.3319,11.1745,5.762,7.0877,7.4688,6.9564,9.6137,5.267,7.1431,7.6156,7.2758,9.3725,3.0368,4.4169,5.727,3.5029,6.1602
200412,5.3917,4.5256,3.9912,3.1161,6.249,3.494,3.236,2.4121,2.4124,3.722,5.3626,3.57,1.4708,2.3713,4.4359,4.3332,4.2165,4.1795,5.226,3.0583,3.8245,2.7544,1.4075,5.5346,2.3747
200501,-6.4052,-4.0873,-4.0958,-3.0131,-1.3454,-5.5185,-3.0605,-4.1234,-2.7885,-2.4274,-3.4928,-3.9494,-3.2085,-0.8579,-3.1699,-2.8061,-3.7406,-3.0136,-1.7666,-2.0284,-3.1901,-1.5336,-1.6264,-2.2942,-0.1423
200502,-0.9501,-0.3123,-0.5335,1.368,3.0346,2.3609,1.4276,2.4281,4.4345,3.3381,0.674,3.0108,3.6773,2.039,2.082,1.9925,2.1514,3.5017,3.3788,4.9193,0.7093,4.7755,2.6351,0.4871,4.9732
200503,-5.7221,-2.9165,-3.2288,-2.3933,-2.4147,-4.2979,-2.2107,-2.4569,-0.7492,-1.3665,-1.7617,-2.5107,-2.4345,-2.5229,-0.1496,-2.2082,-0.1158,0.722,-2.3996,-1.6746,-1.1427,-3.7847,-0.6982,-0.3517,-0.775
200504,-5.463,-6.8085,-5.321,-6.7577,-6.5979,-7.6294,-6.2494,-6.2724,-5.8763,-5.8598,-5.2029,-3.9527,-5.5616,-5.3894,-4.2085,-3.8601,-4.6116,-3.9672,-2.6506,-3.1524,-1.04,-2.3582,-2.1558,-1.0404,-3.044
200505,6.7454,6.1644,4.8606,3.7264,5.5122,9.5245,8.0806,6.6821,5.7699,7.0186,6.0985,6.2787,5.1174,4.5675,7.262,6.1961,6.0259,5.4503,6.5241,5.1442,3.8382,2.7446,1.2412,2.2305,3.7815
200506,3.6993,3.6436,4.579,4.2564,5.3507,2.0585,4.3745,4.4424,4.2843,4.0639,2.1893,2.3124,3.2279,4.1984,3.577,1.1961,1.6993,3.549,4.4439,2.9844,-1.6377,1.2612,1.5176,1.4279,3.0806
200507,7.8916,7.7069,7.0112,6.9321,6.8253,6.8186,6.7614,7.4244,5.9098,6.9316,4.5308,6.258,6.7382,4.7624,4.7401,5.9412,5.3696,5.2268,7.0935,5.1317,4.7103,2.8863,1.0079,3.8387,4.2617
200508,-2.3961,-0.4475,-1.4184,-0.9023,-0.8273,-2.6928,-0.8303,-1.407,-1.5689,-2.134,-2.4558,-0.4923,-0.876,-1.3092,-0.3966,-1.7228,-0.5893,-0.2744,1.0608,-1.4883,-1.5316,-0.9629,-0.7164,0.8742,-0.6348
200509,1.1636,1.8223,0.153,1.2437,-0.8923,0.3023,1.135,1.0325,0.4643,0.496,-0.8187,2.2247,1.1747,-0.6839,0.397,0.5475,-0.6514,1.8406,3.6635,1.7484,-0.2278,1.2572,1.4658,1.3401,2.5182
200510,-3.8949,-3.2378,-2.7796,-2.0246,-2.2219,-3.3332,-1.8685,-3.1728,-2.8687,-2.8992,-3.1552,-3.9547,-1.6527,-3.6596,-3.4852,-1.0667,-3.5106,-2.664,-4.7083,-3.6335,-0.3226,-3.0499,-1.332,-1.2597,-1.4122
200511,4.8392,4.7599,4.8782,4.0076,3.5751,5.2704,4.7548,4.8207,4.9314,3.5154,7.0288,5.8912,4.4168,4.3561,1.671,5.4029,4.812,3.803,2.8116,4.8656,3.5866,4.1818,3.8194,3.3908,2.2904
200512,-0.495,0.4267,-0.419,0.2177,0.604,0.0788,-0.9367,-0.4211,-0.635,-0.6188,0.5508,0.9055,0.7281,0.4759,1.0741,0.4309,1.5145,1.7021,2.2253,0.7113,-0.9348,0.0669,0.7376,0.6589,-0.3621
200601,11.4767,9.3157,8.526,8.0774,8.3009,6.8367,8.7175,10.354,9.905,7.8221,5.6253,8.2504,9.0207,4.6978,6.1594,5.3167,4.8578,4.9535,3.8629,4.6341,1.2339,2.4422,1.6524,5.307,4.13
200602,-0.3432,0.9289,-0.2699,-0.582,0.2943,-0.0127,-0.2948,-1.1863,0.4177,-1.8467,0.6707,-1.7858,-0.2008,-1.0183,-1.5966,0.6494,-0.4189,-0.2924,-2.2712,1.3133,-0.2169,0.4947,1.0714,0.262,-0.9312
200603,4.0731,5.516,4.441,5.4758,6.6103,3.2133,5.3332,6.3755,5.3062,4.1091,4.9293,3.8672,2.8123,2.8262,1.7588,3.5019,2.4368,2.7387,2.0407,2.6011,0.8692,1.9685,1.2576,1.0742,0.8872
200604,-1.1519,-1.376,0.2039,0.4692,1.7518,-0.7041,0.8137,3.6036,-1.1199,2.5674,-1.2258,-0.4034,2.2508,-0.4289,2.6479,0.1607,0.2343,1.1208,3.1951,3.2573,-0.822,2.2234,2.5743,2.0828,4.8649
200605,-9.3232,-6.4108,-4.3521,-4.4542,-3.961,-6.2277,-6.0307,-4.2626,-5.2759,-3.0783,-6.1978,-4.8788,-4.0867,-3.1861,-1.8305,-5.5014,-2.8107,-2.6554,-1.9492,-2.7228,-2.8474,-2.7082,-2.461,-1.2692,-2.6494
200606,-0.8939,-0.9853,-0.6692,-0.1251,-0.2917,0.1002,1.4094,-0.0544,0.4551,-0.1876,-0.8016,-0.6463,-0.3252,0.2882,0.2609,-0.3516,-1.7532,-1.0206,0.1749,-0.7195,0.3611,-0.781,0.5697,1.2091,1.1344
200607,-5.7617,-3.4189,-3.5458,-2.1807,-2.5483,-5.2183,-4.4795,-2.963,-1.7004,-3.6194,-6.279,-2.9078,-4.2843,-1.8808,-1.3027,-4.8237,-3.0157,-2.544,-3.151,-1.3271,-1.0093,1.6211,1.4424,1.8298,3.8005
200608,3.3871,2.4495,3.1564,2.5557,2.7718,3.3887,2.3908,3.2865,3.3605,1.7984,2.4432,2.1354,2.1455,2.8831,2.0705,1.4621,3.3521,0.3382,3.2049,2.6734,4.2131,1.9623,2.5234,0.0842,0.4874
200609,-0.2748,0.2434,-0.1077,0.7702,2.0453,0.8296,1.4199,1.0646,1.7156,1.1914,2.2695,0.1586,1.2192,1.064,1.0316,1.9554,2.7925,1.1637,1.1784,0.8843,2.5937,2.7799,1.8864,2.3119,4.2635
200610,7.0618,6.0442,6.1193,4.6285,5.3751,6.2086,5.2333,4.8274,4.7705,4.6581,5.7606,4.1252,3.9971,3.6501,5.3157,4.335,4.7491,3.6184,2.8583,3.2116,3.2064,2.2193,3.8233,3.562,5.0557
200611,1.1595,3.4419,1.6694,2.0855,2.7173,1.6723,3.0705,3.008,3.2702,2.9192,3.7008,3.8778,4.5606,3.9172,3.5106,3.8239,4.1684,3.5369,2.2722,4.7527,0.9683,2.2394,2.551,2.0664,-0.2085
200612,0.2778,0.9499,1.6502,2.2254,3.6237,-2.1515,-0.7853,1.0556,0.3723,1.6309,-1.0565,-0.111,0.9699,1.0658,1.0558,-1.0822,0.311,-0.4746,1.9364,2.4528,-0.0518,1.3338,3.4544,2.7363,3.564
200701,1.4114,0.1526,0.1555,0.4604,3.1373,2.1845,1.4446,1.5949,0.8963,2.5134,3.7594,3.0693,1.8343,3.7988,0.8703,4.3227,3.5923,2.034,2.5675,2.0417,2.1449,1.0893,0.9699,0.3178,3.7801
200702,-0.7787,-0.5839,-1.0946,-0.758,0.0924,-0.9107,-0.1859,0.2489,-1.5772,0.596,0.4489,0.5079,1.3757,0.4025,0.4739,-0.4371,0.217,1.0376,-0.0337,0.6457,-2.4054,-1.5049,-3.0588,-1.2547,-2.9922
200703,0.5575,-0.0819,1.0552,1.101,0.78,1.0193,1.4276,-0.327,1.112,-1.1145,2.6669,2.0867,1.8719,1.2462,1.4066,1.0306,1.0666,0.6053,0.07,3.4406,0.5633,1.1433,2.6097,1,0.7595
